Wk;Day;Date;Time;Home;Away;Corners outcome;Reliability of the forecast;Correct_prediction
14;Fri;01/12/2023;20:45;Monza;Juventus;1;3.35;1
14;Sat;02/12/2023;15:00;Genoa;Empoli;2;4.33;0
14;Sat;02/12/2023;18:00;Lazio;Cagliari;1;22.93;1
14;Sat;02/12/2023;20:45;Milan;Frosinone;1;10.4;0
14;Sun;03/12/2023;12:30;Lecce;Bologna;1;8.57;1
14;Sun;03/12/2023;15:00;Udinese;Hellas Verona;1;12.28;1
14;Sun;03/12/2023;15:00;Fiorentina;Salernitana;1;24.28;1
14;Sun;03/12/2023;18:00;Sassuolo;Roma;2;3.47;1
14;Sun;03/12/2023;20:45;Napoli;Inter;1;5.63;1
14;Mon;04/12/2023;20:45;Torino;Atalanta;2;5.85;0
